;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
250;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;35 a 39;907;198;1.105
251;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;40 a 44;827;176;1.003
252;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;45 a 49;728;185;913
253;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;50 a 54;517;134;651
254;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;55 a 59;324;151;475
255;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;60 a 64;208;121;329
256;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;65 a 69;115;122;237
257;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;70 a 74;91;83;174
258;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;75 a 79;58;74;132
259;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;80 a 84;27;46;73
260;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;85 a 89;21;33;54
261;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;90 a 94;11;10;21
